"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","01-Apr-2020","       1113.75","       1122.25","       1124.60","       1045.20","       1084.00","       1080.45","       1072.84","   19017099","         20402365414.20","     414675","    7771573","         40.87"
"RELIANCE","EQ","03-Apr-2020","       1080.45","       1134.45","       1134.45","       1056.30","       1088.00","       1077.45","       1077.52","   18912044","         20378095229.65","     519365","    6471589","         34.22"
"RELIANCE","EQ","07-Apr-2020","       1077.45","       1102.10","       1214.00","       1100.00","       1211.00","       1206.10","       1161.27","   24859057","         28867992303.70","     556669","    9176463","         36.91"
"RELIANCE","EQ","08-Apr-2020","       1206.10","       1180.00","       1229.00","       1160.00","       1197.00","       1192.15","       1194.60","   22803774","         27241443067.90","     538577","    7545325","         33.09"
"RELIANCE","EQ","09-Apr-2020","       1192.15","       1214.00","       1232.80","       1193.00","       1217.75","       1219.95","       1214.91","   15101711","         18347214247.30","     368355","    4543136","         30.08"
"RELIANCE","EQ","13-Apr-2020","       1219.95","       1203.95","       1215.00","       1180.00","       1192.50","       1189.15","       1191.64","   10822871","         12896993488.10","     263593","    2785395","         25.74"
"RELIANCE","EQ","15-Apr-2020","       1189.15","       1197.05","       1236.00","       1143.00","       1157.50","       1149.85","       1191.73","   16147959","         19243981630.60","     404270","    5315163","         32.92"
"RELIANCE","EQ","16-Apr-2020","       1149.85","       1149.85","       1187.45","       1145.00","       1170.00","       1168.05","       1172.19","   17123533","         20071955511.50","     387003","    6815679","         39.80"
"RELIANCE","EQ","17-Apr-2020","       1168.05","       1216.00","       1230.00","       1192.65","       1229.90","       1224.00","       1208.12","   15209707","         18375116205.00","     322391","    5515033","         36.26"
"RELIANCE","EQ","20-Apr-2020","       1224.00","       1226.00","       1257.00","       1202.00","       1248.10","       1243.80","       1228.75","   16472339","         20240404168.15","     365965","    3828855","         23.24"
"RELIANCE","EQ","21-Apr-2020","       1243.80","       1210.00","       1252.00","       1164.00","       1251.50","       1237.35","       1204.07","   28057706","         33783478000.15","     573205","    8180117","         29.15"
"RELIANCE","EQ","22-Apr-2020","       1237.35","       1320.00","       1384.90","       1300.00","       1359.00","       1363.60","       1341.48","   65230894","         87505942711.40","    1194059","   15175508","         23.26"
"RELIANCE","EQ","23-Apr-2020","       1363.60","       1367.35","       1385.85","       1353.30","       1370.15","       1370.90","       1369.10","   29928331","         40974916120.55","     612506","    9233839","         30.85"
"RELIANCE","EQ","24-Apr-2020","       1370.90","       1350.15","       1494.95","       1347.20","       1425.80","       1417.00","       1431.67","   61711388","         88350296135.65","    1154959","    9965286","         16.15"
"RELIANCE","EQ","27-Apr-2020","       1417.00","       1434.00","       1475.00","       1423.00","       1431.00","       1429.75","       1448.31","   26736512","         38722699504.95","     594518","    4031654","         15.08"
"RELIANCE","EQ","28-Apr-2020","       1429.75","       1450.00","       1455.45","       1392.15","       1430.00","       1428.15","       1421.22","   35866381","         50974111340.65","     746066","    7100366","         19.80"
"RELIANCE","EQ","29-Apr-2020","       1428.15","       1444.90","       1453.65","       1420.00","       1427.00","       1426.95","       1436.42","   17141540","         24622404116.35","     389293","    4350009","         25.38"
"RELIANCE","EQ","30-Apr-2020","       1426.95","       1453.95","       1494.95","       1438.05","       1464.00","       1466.00","       1467.88","   32617901","         47879255960.05","     663204","    9287707","         28.47"
"RELIANCE","EQ","04-May-2020","       1466.00","       1440.00","       1465.00","       1417.45","       1435.00","       1435.20","       1442.94","   24439240","         35264364750.75","     544309","    8018280","         32.81"
"RELIANCE","EQ","05-May-2020","       1435.20","       1453.70","       1479.00","       1447.20","       1462.65","       1460.65","       1464.23","   20528706","         30058697949.35","     412545","    4924874","         23.99"
"RELIANCE","EQ","06-May-2020","       1460.65","       1464.00","       1484.95","       1445.50","       1461.50","       1460.75","       1468.54","   18510304","         27183196663.05","     425042","    4155906","         22.45"
"RELIANCE","EQ","07-May-2020","       1460.75","       1455.00","       1513.65","       1445.00","       1512.00","       1506.95","       1484.86","   22871529","         33961065996.95","     465254","    5286803","         23.12"
"RELIANCE","EQ","08-May-2020","       1506.95","       1545.00","       1579.90","       1537.10","       1559.45","       1561.80","       1560.62","   38522385","         60118628770.50","     727915","   12438706","         32.29"
"RELIANCE","EQ","11-May-2020","       1561.80","       1580.00","       1615.00","       1572.30","       1575.00","       1576.80","       1592.89","   30670404","         48854566347.85","     576001","   11723342","         38.22"
"RELIANCE","EQ","12-May-2020","       1576.80","       1564.80","       1568.35","       1465.00","       1486.45","       1479.25","       1511.39","   46029119","         69568011663.15","     807575","   18435434","         40.05"
"RELIANCE","EQ","13-May-2020","       1479.25","       1527.00","       1527.00","       1454.00","       1492.50","       1496.45","       1481.10","   30658051","         45407632804.00","     615366","    6403617","         20.89"
"RELIANCE","EQ","14-May-2020","       1496.45","       1469.00","       1496.70","       1430.05","       1437.00","       1435.95","       1457.61","   22736714","         33141191470.35","     494402","    7400518","         32.55"
"RELIANCE","EQ","15-May-2020","       1435.95","       1444.00","       1466.70","       1415.10","       1453.20","       1459.40","       1439.85","   28683432","         41299828010.10","     592403","    7448167","         25.97"
"RELIANCE","EQ","18-May-2020","       1459.40","       1470.00","       1482.00","       1428.00","       1442.55","       1440.75","       1452.86","   28981620","         42106270200.25","     575336","    5396937","         18.62"
"RELIANCE","EQ","19-May-2020","       1440.75","       1457.00","       1461.70","       1403.25","       1409.10","       1408.90","       1436.68","   19529216","         28057214575.20","     424987","    4452799","         22.80"
"RELIANCE","EQ","20-May-2020","       1408.90","       1410.00","       1446.85","       1393.00","       1437.40","       1433.70","       1426.52","   25530692","         36419940581.50","     446373","    6638736","         26.00"
"RELIANCE","EQ","21-May-2020","       1433.70","       1435.00","       1461.45","       1425.00","       1440.00","       1441.25","       1443.94","   18077196","         26102458753.25","     353235","    5286704","         29.25"
"RELIANCE","EQ","22-May-2020","       1441.25","       1451.80","       1458.00","       1426.50","       1433.00","       1431.55","       1442.31","   17458503","         25180593225.25","     388907","    4083814","         23.39"
"RELIANCE","EQ","26-May-2020","       1431.55","       1448.15","       1449.70","       1416.30","       1426.00","       1424.05","       1428.70","   15330793","         21903166112.45","     341795","    7437964","         48.52"
"RELIANCE","EQ","27-May-2020","       1424.05","       1431.00","       1454.00","       1412.00","       1449.85","       1445.55","       1430.20","   16460764","         23542230514.25","     348477","    6524302","         39.64"
"RELIANCE","EQ","28-May-2020","       1445.55","       1455.00","       1479.75","       1449.00","       1471.05","       1472.25","       1467.50","   18519252","         27176980636.40","     405603","    8377100","         45.23"
"RELIANCE","EQ","29-May-2020","       1472.25","       1468.00","       1472.00","       1452.65","       1470.00","       1464.40","       1462.79","   18471770","         27020285851.40","     300018","   10292573","         55.72"
"RELIANCE","EQ","01-Jun-2020","       1464.40","       1480.00","       1538.35","       1475.95","       1521.90","       1520.35","       1512.99","   18434065","         27890475620.10","     354436","    5711151","         30.98"
"RELIANCE","EQ","02-Jun-2020","       1520.35","       1526.00","       1540.00","       1520.80","       1537.95","       1535.70","       1531.68","   10224102","         15660044883.85","     224472","    3522633","         34.45"
"RELIANCE","EQ","03-Jun-2020","       1535.70","       1545.00","       1560.00","       1533.35","       1543.00","       1541.65","       1543.74","   11713666","         18082824556.40","     227825","    5197313","         44.37"
"RELIANCE","EQ","04-Jun-2020","       1541.65","       1544.00","       1589.50","       1541.00","       1576.00","       1579.80","       1570.24","   15784612","         24785560880.55","     356122","    4083577","         25.87"
"RELIANCE","EQ","05-Jun-2020","       1579.80","       1595.00","       1618.00","       1573.70","       1579.20","       1581.70","       1596.41","   15270435","         24377905391.85","     339237","    3362416","         22.02"
"RELIANCE","EQ","08-Jun-2020","       1581.70","       1618.40","       1618.40","       1565.00","       1571.80","       1569.50","       1588.27","   14498055","         23026897486.70","     322987","    3584176","         24.72"
"RELIANCE","EQ","09-Jun-2020","       1569.50","       1560.30","       1583.00","       1533.00","       1535.90","       1537.15","       1555.91","   11934073","         18568335407.30","     307011","    2953746","         24.75"
"RELIANCE","EQ","10-Jun-2020","       1537.15","       1543.10","       1579.55","       1540.05","       1575.00","       1572.15","       1556.73","   10214426","         15901058050.65","     262174","    2815033","         27.56"
"RELIANCE","EQ","11-Jun-2020","       1572.15","       1566.00","       1567.95","       1531.00","       1538.80","       1537.70","       1546.33","    9408283","         14548302924.85","     269490","    3034020","         32.25"
"RELIANCE","EQ","12-Jun-2020","       1537.70","       1500.00","       1593.00","       1497.00","       1588.70","       1588.80","       1552.68","   17790565","         27623018097.70","     337575","    4514688","         25.38"
"RELIANCE","EQ","15-Jun-2020","       1588.80","       1565.00","       1626.95","       1561.10","       1612.30","       1614.55","       1593.39","   24509162","         39052737198.75","     467105","    5136354","         20.96"
"RELIANCE","EQ","16-Jun-2020","       1614.55","       1643.00","       1648.55","       1585.30","       1614.05","       1617.70","       1617.17","   23623299","         38202982642.70","     424919","    5774484","         24.44"
"RELIANCE","EQ","17-Jun-2020","       1617.70","       1608.25","       1635.45","       1602.10","       1611.85","       1615.35","       1618.64","   19282519","         31211518938.20","     299203","    7420780","         38.48"
"RELIANCE","EQ","18-Jun-2020","       1615.35","       1607.00","       1665.00","       1605.60","       1662.90","       1655.90","       1636.40","   18677694","         30564098282.65","     327308","    7786788","         41.69"
"RELIANCE","EQ","19-Jun-2020","       1655.90","       1670.00","       1788.80","       1662.00","       1763.20","       1759.40","       1727.35","   48828852","         84344321446.80","     752773","   15752717","         32.26"
"RELIANCE","EQ","22-Jun-2020","       1759.40","       1773.40","       1804.20","       1735.00","       1752.50","       1746.15","       1771.18","   27781772","         49206651889.20","     613265","    7287358","         26.23"
"RELIANCE","EQ","23-Jun-2020","       1746.15","       1750.00","       1763.75","       1716.10","       1721.70","       1720.90","       1731.86","   17521196","         30344310521.95","     400333","    2789706","         34.87"
"RELIANCE","EQ","24-Jun-2020","       1720.90","       1735.90","       1772.70","       1711.70","       1732.50","       1727.85","       1739.65","   23808524","         41418523475.35","     488048","    5829283","         24.48"
"RELIANCE","EQ","25-Jun-2020","       1727.85","       1727.00","       1749.00","       1713.05","       1719.00","       1717.90","       1728.41","   18312705","         31651803892.75","     318478","    6775567","         37.00"
"RELIANCE","EQ","26-Jun-2020","       1717.90","       1728.80","       1752.00","       1717.00","       1750.00","       1741.65","       1731.91","   14270695","         24715505750.70","     279769","    5042368","         35.33"
